title;description;image
input data trajumastra;"<p>rapat input trajumastra dkp&nbsp;</p>";uploads/berita/2024/08/1724312681_c69a3021d056760c6190.png
testing;<p>coba berita 1234</p>;uploads/berita/2024/12/1733532178_ee8750b8a60307598dd8.jpg
Panen Raya;<p>kjgftcsrmhgk,juhgfhsfdmhhghl.h</p>;uploads/berita/2024/12/1733803307_92cf752e8445320c1c6c.jpg
Penanganan Penyakit Ikan Lele;<p>Pencegahan Ikan Lele terserang penyakit dapat dicegah dengan menggunakan obat-obatan alami seperti bawang putih, dan daun pepaya. penggunaan probiotik air saat musim hujan sangat membantu dalam budidaya ikan lele</p>;uploads/berita/2024/12/1733803314_613730ffc4ce38567c4d.jpg
Proses produksi ikan segar;<p>Proses ikan gurami segar berbumbu di Poklahsar Sakura Fish. Pada hari senin, 9 Desember 2024 di rumah produksi Sakura Fish mengolah ikan guarmi sebanyak 100 kg</p>;uploads/berita/2024/12/1733803426_20e6f2f83032ffcb2a78.jpg
BIMTEK TRAJUMASTRA;<p>Tanggal 10 November 2024 Dinas Kelautan dan Perikanan Bantul mengadakan Bimtek Trajumastra</p>;
Pertemuan rutin KUB Pandan Mina Bahtera;"<p>Pertemuan rutin KUB Pandan Mina Bahtera untuk membahas program kegiatan KUB&nbsp;</p>";uploads/berita/2024/12/1733803467_28866505eba098b2fd46.jpeg
PANEN RAYA POKDAKAN SAHABAT MATAHARI;"<p>Pokdakan sahabat matahati berkedudukan&nbsp; dikarangrejek, Desa Karangtengah Kapanewon Imogiri Kabupaten Bantul. Pada hari senin tanggal 9 Desember 2024 mengadakan kegiatan panen raya ikan lele kolam bulat, kegiatan bantuan pengentasan kemiskinanan dari APBD I Dinas Kelautan dan Perikanan DIY. Pada Panen Raya ini Pokdakan Sahabat Matahari Memanen 3 Kolam sekaligus dengan hasil produksi tiap kolam 4 kuintal.</p>";uploads/berita/2024/12/1733803485_6a0aea17f46c902fc87e.jpg
Pemantauan penyakit ikan oleh Badan Karantina Nasional ;"<p>Barantin bekerjasama dengan DInas Kelautan dan Perikanan Kabupaten Bantul melakukan kegiatan pemantauan penyebaran penyakit ikan gurami di POkdakan MIna Makmur Maguwo, banguntaanan&nbsp;</p>";uploads/berita/2024/12/1733803489_6de74fbafc48d3b7fc83.jpg
Panen Lele Kolam Bulat, Bantuan Aspirasi Dewan 2024 di Pokdakan Rukun Muda;"<p>Total panen 89 Kg dalam 1 Kolam,&nbsp;menghabiskan&nbsp; pakan 4 sak, analisis usaha, belum menguntungkan</p>";uploads/berita/2024/12/1733803524_f42a56a1975e5b8c7d71.jpg
