name;kalurahan_id;address;email;phone;jenis_usaha_id;business_type_name;year;npwp;certificate_number;sk
Testing;3402050002;testing;email@ptdes.net;081235123123;;;2024;081231231;01231231;01224
TES KELOMPOK;3471120002;TES ALAMAT;naefariq@gmail.com;082176312379;;;2019;213213;12312213;123123
Rizquna Lele;3402110003;Padukuhan Jembangan Rt.001;s;08512345678;;;2022;0;0;No 24 Tahun 2022
POKDAKAN MINA LESTARI;3402080004;Telan RT 007;auryyy@gmail.com;08123456789;;;2013;ahg5467856t;1132/hjgtg/jgrec354;523/195/kal-wks/x/2023
test;3402140001;ringinharjo;test@gmail.com;085678;;;2024;001;001;001
KUB Pandan Mina Bahtera;3402010001;Dusun Ngentak RT.01 Poncosari, Srandakan, Bantul;-;081931720378;;;2009;-;-;411 / 290
Mina Dompon Sejahtera;3402060003;Kadisoro Gilangharjo Pandak;wwwwww;085643093218;;;2018;6666;ggggg;66666
Rukun Muda;3402170004;Samben, Argomulyo, Sedayu;rully;087838353444;;;2023;-;-;45/AM/IV/2023
Bangkit Maju;3402120003;Munggur;zulfa.alimursid@gmail.com;08179415191;;;2020;000000;24.1.34.02.120.02.2023.02.2023;00000
MINA HASA ;3402140001;DK. PULUTAN, PENDOWOHARJO, SEWON;-;08994567417;;;2013;-;-;1304/ply/pdh/2018
Mina Lumintu;3402030003;Greges, Donotirto, Kretek, Bantul;-;00;;;2005;-;-;523/23
